GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JPA Annotation Processor,net.trajano.apt.jpa,EntityProcessor,55,0,2,0,13,0,3,0,2,0
JPA Annotation Processor,net.trajano.apt.jpa.internal,MetaOperation,150,0,6,0,29,0,10,0,7,0
JPA Annotation Processor,net.trajano.apt.jpa.internal,MetaNamedQuery,49,0,2,0,11,0,5,0,4,0
JPA Annotation Processor,net.trajano.apt.jpa.internal,MetaTableModel,175,45,20,6,38,5,19,4,9,1
JPA Annotation Processor,net.trajano.apt.jpa.internal,TableModelGenerator,514,0,28,0,101,0,16,0,2,0
